Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/15/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213454205,0.725837079,0.003946842,4.464506993,,,,,,,,,,,,,,,,,,0.009318303,0.107469641,0.008437259,0.045857888,0.007036553,0.250656882,0.21533707,0.104645582,0.110738796,0.122010695,,
Afghanistan,AFG,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,4.409574696,12.57896735,14.8661727,16.9461491,14.55329816,13.7309155,11.61954249,13.97424492,20.29962346,13.22422321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.450456006,,,10.46932901,,
Angola,AGO,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,3.04073582,,,,,,,7.176447654,13.3846842,19.94713774,26.84086642,31.39472746,51.64151368,,,,65.73949948,71.90704201,77.96925028,82.12398696,,,,,,,,,93.47768034,94.83153609,,,,,,,,,,,,,,,,95.7182156,,96.61177534,96.53454737,96.55676824,97.17792429,96.67956813,96.19440336,93.80836244,92.36701551,94.32222713,92.1389792,,
Albania,ALB,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.859217847,0.81208223,1.169276448,1.978161984,1.851368789,1.448359706,2.009642961,0.939453931,2.627711908,8.662729513,13.68709309,7.453003161,21.814272,11.60241446,17.9732269,21.19194706,26.59078127,31.00305182,1.567523363,8.806638495,11.1789816,0.834610895,1.663178299,,
Andorra,AND,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171317198,0.008100625,0.006131506,0.014452566,0.099533597,0.136743307,0.213197239,0.003412345,0.006610765,0.001981084,0.001979857,0.000708131,0.006046357,0.00776776,0.067625008,0.001744115,0.003082301,0.09857008,0.128315737,0.122804361,0.046028721,0.020802972,0.009698844,0.013955125,,
Arab World,ARB,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,80.30117215,82.20293902,81.84129951,,88.02871233,86.79441769,,,,,,,,,,51.83972044,,62.08303205,60.7211073,61.07342453,,,,,76.45095533,80.87081702,84.84926774,83.96137533,80.87671174,,83.39641782,75.65611974,84.3093175,79.85190836,79.83418978,79.55854214,81.92425084,81.76329452,71.10893328,75.68224179,72.75142521,65.54371729,64.3684126,39.50714814,45.53797094,,
United Arab Emirates,ARE,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,94.91209647,92.02700229,,,,21.30976295,,,,,,3.458279431,,7.297511105,10.30426867,9.113302687,,,,,,91.36902735,93.84780798,91.78517527,,,,57.79111737,,65.34524402,64.81498805,,,,53.52204005,61.23086825,53.62606112,41.43560471,35.24696579,39.37228,74.77548646,,
Argentina,ARG,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,1.080846673,0.822615007,0.432268863,0.615568721,0.878622057,0.525258658,0.905895163,0.358795438,0.429985458,0.488016439,0.322420189,0.171398382,0.314088278,0.494938172,0.503027415,0.492338389,0.807152517,0.62153584,3.464286932,6.780998477,7.1879412,4.265832302,4.091021674,7.307023528,2.241260118,1.34305051,1.524761511,3.387066245,7.800724803,6.256089037,8.721508322,9.464930882,10.48015283,10.37251244,12.99693109,11.73512914,8.667461629,12.22694351,17.73846718,17.12850647,17.0886499,17.12277692,15.99355312,16.38292025,15.40737468,10.99399808,9.447404365,10.34150974,8.12833646,6.119544664,6.374851618,4.758953527,4.751847129,2.607335075,2.570956592,2.865930674,4.286103047,3.718226427,
Armenia,ARM,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.740452368,,8.712978961,10.60785446,8.485239092,3.44490138,2.042303246,3.191339313,2.27720046,2.074116413,1.202724406,0.260615963,0.095418931,3.122871723,8.432720836,7.925194197,6.072730452,6.339750761,6.419701019,3.821998178,3.863704771,4.059221308,3.151729694,
American Samoa,ASM,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
