Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/15/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,1.629606099,,,1.868910256,1.610824742,1.722065728,2.046086957,2.011474793,,,,,,,,,,,,,,,,,,,,,,,,,,,2.431257869,1.992065699,1.896233996,2.566267352,2.335545702,2.087412553,1.945835694,1.821345454,1.17541612,1.076949768,1.298012878,0.994575823,0.956772141,0.9452268,1.006745856,1.173907978,
Angola,AGO,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,1.72E-05,1.73E-05,22.25,21.9805,19.43233333,17.46366667,7.1025,5.682830543,17.52258908,5.709280691,4.707392768,2.447848157,5.972268207,2.642011881,17.33469221,6.392603154,4.524353815,2.869932445,3.761479074,3.471180187,3.692240947,3.761495305,3.114054493,3.573120364,4.709610048,4.177584566,3.255660351,3.236659499,4.455239422,4.698454516,3.105426293,2.733340655,2.421112813,1.806940582,1.644661129,
Albania,ALB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,6.052021633,5.848317053,5.651595745,5.44128199,6.117504543,5.651426199,5.626186504,5.862228923,5.617316628,5.167612724,5.88830072,5.791270422,4.670887824,3.199451067,2.54781906,2.053587359,1.379029627,1.28308078,1.238242561,1.249210099,1.246360242,1.309291375,1.320034494,1.336842924,1.381157942,1.350004971,1.567769089,1.820765344,1.984868857,1.51721714,1.558591893,1.528266338,1.487082577,1.408982101,1.346515991,1.162303864,1.103581009,1.108696386,1.16806316,1.27255922,
Andorra,AND,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.777087744,4.632189594,5.257323335,3.840464023,4.759893192,6.075443275,5.868212054,5.978478238,7.355431627,8.421828111,8.269622524,8.039496282,7.559992159,8.056958471,,,,10.8250164,10.61607661,9.653916175,8.586125789,9.929214301,12.07958145,11.070136,11.57874075,10.30274122,,8.41670822,8.056310149,7.695649926,,11.42595724,8.645236829,7.88081761,7.334938127,6.600877245,6.019910391,6.575123532,7.545753589,6.52014355,6.416985174,6.409808598,5.88547715,5.462300697,5.07646418,4.632185035,4.386509637,4.525562855,4.199122402,5.325485439,5.039570389,4.912642874,5.003848338,5.75548393,6.34104157,7.422177766,6.151732791,6.467371777,6.062371869,5.43542711,
United Arab Emirates,ARE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.759061481,8.62972121,7.669537998,8.323722245,5.612105523,4.875531805,4.692306267,4.61147764,3.656470678,3.225974473,3.28052137,3.668022649,5.457107773,6.038592208,5.466314528,5.075556494,6.034686251,5.643651352,,,,,,
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.55,2.14,2.66,1.68,1.15,1.07,1.168,1.4,1.685714286,1.9375,1.877777778,1.807692308,1.823809524,1.848571429,1.659183673,2.041958042,3.781291173,4.008600096,4.719144058,4.673356256,3.098958333,3.465346535,2.704557935,2.738812785,2.162039144,2.299717248,2.313678749,2.28438688,2.124939223,1.880365592,1.450909212,1.506926555,1.421222233,1.422802901,1.457038533,1.473073107,1.241227264,1.140139111,1.136318022,1.220359548,1.148822677,1.184233542,1.091880479,1.060895057,0.883295359,0.847154784,0.788233877,0.792548175,0.762756475,0.886508577,0.814878105,0.764287094,0.784824721,0.83773643,0.878100919,0.850128583,0.813140078,0.856137916,0.745498855,0.706520712,
Armenia,ARM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.203389831,2.296644333,,4.059311908,3.281867004,3.90939856,3.528096003,3.697374231,3.560024873,3.127249385,2.697714749,2.728372214,2.741996705,2.871931363,2.947613156,3.042574701,3.395579363,4.157049908,4.265646056,3.853946441,3.821810163,3.997244557,3.943378265,4.239225803,4.090349217,3.849730577,4.897038382,4.945726871,
American Samoa,ASM,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.36954514,2.415139854,2.36369537,2.446634639,2.648242797,2.952292962,3.451382904,3.793763967,3.837273585,3.38591988,2.966035577,2.763151709,2.685620605,2.379346796,2.262802699,2.267315593,2.216612107,2.247202208,2.21568857,2.192729371,2.248956904,2.296601945,2.393265216,2.519811819,2.505233651,2.523268379,2.540429752,2.372988832,2.161814883,2.051827509,2.07590586,2.168042858,2.16874608,2.178029886,2.116598589,2.021312568,1.930440067,1.867334395,1.871121813,1.889235741,1.829841913,1.870093879,1.873964621,1.846289689,1.827410769,1.80249268,1.822330926,1.815342245,1.798547172,1.926908956,1.856791362,1.757078228,1.670962863,1.6398607,1.772210798,1.950600987,2.081511754,1.997973925,1.894180159,1.879802395,
Austria,AUT,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.458185699,1.309337523,1.352071859,1.579667758,1.887300243,1.507213387,1.624405132,1.609166416,1.542674749,1.499256567,1.380130121,1.246106954,1.202286665,1.184988573,1.276882519,1.451278364,1.365196811,1.345951891,1.429212612,1.433845732,1.420246106,1.380051733,1.41299673,1.391175884,1.414158336,1.512623567,1.508758541,1.416677903,1.299181144,1.234154925,1.195660267,1.154217118,1.099214072,1.115584541,1.094453076,1.073232052,1.049682977,1.046433982,1.018072863,0.980246123,0.98031858,0.908240041,0.883527837,0.913640319,0.893480466,0.850142574,0.785813244,0.900457173,0.870705123,0.833379565,0.821232712,0.790897558,0.778464251,0.750825383,0.747780095,0.698138152,0.732544817,0.756179042,0.743446243,0.725448727,
Azerbaijan,AZE,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.400225621,5.000467786,1.94658459,2.736901303,2.254230341,2.324049799,2.412355913,2.625109931,2.267862063,2.312062608,2.24331377,2.426362555,2.629481138,2.299069675,3.417759333,2.864194919,3.291211146,3.325421682,2.791004357,4.670135555,4.658618252,4.54092331,4.555013124,5.464876793,3.690457267,3.821456058,3.624216221,3.999058616,
Burundi,BDI,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,3.943793911,0.434782609,0.445620494,1.352337005,1.382287925,1.332606884,1.414223331,1.754491378,,1.032408654,1.458670989,1.946212277,2.225082751,2.056807052,2.2236012,2.533381742,2.796373652,2.643715301,2.918803369,3.030330243,3.50702489,3.104808926,2.975400785,2.751172646,2.805413158,2.649139912,3.145245149,3.349522133,3.448712473,3.786270865,3.595637948,3.72027582,3.921111198,4.209072899,5.856884919,6.359652961,6.572272507,6.257643657,4.862402213,6.071737158,5.441678859,5.533435389,4.903266843,4.436190041,3.511718452,3.414595248,2.720890527,,,,2.527177708,2.367638193,2.119090371,2.201862734,2.115625208,1.870652158,1.882161432,1.765131006,
Belgium,BEL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.397347867,3.259070074,3.284752167,3.216630963,3.213471659,2.973063602,3.112586029,3.134581624,3.115090011,2.931814996,2.918640097,2.898925919,2.880760041,2.835311133,2.761416188,3.065034539,3.093369534,3.143248647,3.261522061,3.261345018,3.250195386,3.366049436,3.269944591,3.19141317,3.007902449,2.931233854,2.953772624,2.901794793,2.628748416,2.460854324,2.355440459,2.287692847,1.83233253,1.735965893,1.67714315,1.565752151,1.540102651,1.476975796,1.463919265,1.385835559,1.341210276,1.276504166,1.215712208,1.214988156,1.149272139,1.091560058,1.051239186,1.094535301,1.213898317,1.160039922,1.084632861,1.043506795,1.03819328,1.010348682,0.978038255,0.921667505,0.906254688,0.895316099,0.910310347,0.933647268,
Benin,BEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.871584699,1.395287958,1.751633987,1.736842105,2.18169901,2.106508876,1.900232597,1.976252106,2.072124756,1.894736842,1.625281519,1.601042034,1.487794309,1.67752809,1.442379182,1.492907801,1.28164794,1.678787879,1.194306931,1.930460034,2.031651419,1.551371319,1.305689831,1.621793843,2.020289981,1.894108684,1.967418682,2.278272941,2.270625537,1.898816057,1.674381125,,,,,,,,,0.663365739,0.564235731,0.4892599,0.851157766,0.884527271,0.924055932,0.93065751,0.909882099,,0.907451472,,,,0.95946855,0.939211742,0.957933118,1.096302663,0.928169433,1.264137517,0.869006668,0.652801729,
